QP=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
5, I-SLICE,5,26.2,501432,0,25.087,41.949,44.477,44.64,42.602,0.969915,15.216,24,  -, -,0.00%,0.00%,0.00%,5.43%,2.44%,10.63%,7.21%,2.91%,24.64%,6.23%,1.55%,26.55%,12.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6, P-SLICE,6,26.49,59544,0,28,41.367,44.418,44.554,42.147,0.96663,14.766,23,5, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,3.58%,14.87%,12.53%,10.27%,0.00%,1.61%,3.58%,4.14%,0.83%,9.84%,16.72%,21.85%
7, P-SLICE,7,26.5,86896,0,28,41.203,44.408,44.543,42.021,0.965783,14.658,22, 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.33%,0.00%,5.02%,19.28%,18.04%,14.17%,0.00%,2.16%,4.71%,8.00%,0.88%,6.27%,9.95%,11.16%
8, P-SLICE,8,26.67,89776,0,28,41.137,44.371,44.532,41.966,0.96541,14.61,21, 7 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.03%,0.03%,0.38%,0.00%,5.63%,19.58%,18.60%,14.35%,0.00%,1.73%,3.68%,5.35%,1.04%,5.32%,10.89%,13.22%
9, P-SLICE,9,26.38,90464,0,28,41.139,44.338,44.502,41.96,0.965327,14.6,20, 8 7 6 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.03%,0.00%,0.31%,0.00%,5.03%,20.87%,20.24%,12.84%,0.00%,1.62%,4.44%,5.97%,1.28%,5.12%,8.72%,13.46%
10, I-SLICE,10,26.24,497928,0,25.087,41.99,44.423,44.651,42.627,0.970037,15.234,19,  -, -,0.00%,0.00%,0.00%,5.16%,2.52%,10.26%,7.14%,2.89%,23.59%,5.87%,1.52%,28.74%,12.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
11, P-SLICE,11,26.38,62704,0,28,41.372,44.399,44.562,42.149,0.966704,14.776,18,10, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.07%,0.00%,3.01%,14.29%,11.31%,10.47%,0.00%,1.79%,3.67%,7.10%,0.71%,8.37%,15.64%,23.47%
12, P-SLICE,12,26.54,87224,0,28,41.243,44.391,44.541,42.049,0.966022,14.688,17, 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.24%,0.00%,4.71%,19.45%,15.93%,14.51%,0.00%,1.98%,4.77%,7.37%,1.10%,5.36%,9.89%,14.68%
13, P-SLICE,13,26.3,89560,0,28,41.183,44.366,44.508,41.996,0.965652,14.641,16, 12 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.53%,0.00%,4.84%,17.59%,18.21%,15.39%,0.00%,1.41%,3.22%,4.40%,1.08%,6.10%,11.99%,15.22%
14, P-SLICE,14,26.58,91856,0,28,41.176,44.335,44.499,41.986,0.965526,14.625,15, 13 12 11 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.12%,0.00%,0.35%,0.00%,4.80%,18.33%,18.27%,14.53%,0.00%,1.12%,3.56%,3.74%,1.29%,5.06%,12.09%,16.68%
15, I-SLICE,15,26.23,498968,0,25.087,41.969,44.486,44.677,42.622,0.970046,15.236,14,  -, -,0.00%,0.00%,0.00%,5.06%,2.71%,10.68%,7.35%,2.81%,24.96%,7.11%,1.31%,25.24%,12.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16, P-SLICE,16,26.38,62104,0,28,41.346,44.427,44.566,42.134,0.966702,14.776,13,15, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.25%,0.00%,2.92%,13.38%,12.37%,9.40%,0.00%,1.57%,3.26%,5.33%,0.79%,9.11%,18.02%,23.59%
17, P-SLICE,17,26.58,87696,0,28,41.191,44.416,44.555,42.015,0.965833,14.664,12, 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.03%,0.00%,0.31%,0.00%,3.72%,19.71%,16.67%,13.65%,0.00%,1.64%,3.19%,5.41%,0.99%,6.68%,12.27%,15.68%
18, P-SLICE,18,26.33,91280,0,28,41.183,44.391,44.518,42.001,0.965686,14.645,11, 17 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.00%,0.55%,0.00%,4.49%,16.85%,20.43%,14.23%,0.00%,2.13%,5.30%,8.10%,1.18%,5.73%,9.28%,11.67%
19, P-SLICE,19,26.53,90528,0,28,41.181,44.365,44.484,41.992,0.965774,14.656,10, 18 17 16 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.09%,0.03%,0.40%,0.00%,5.41%,19.15%,17.98%,13.28%,0.00%,1.67%,4.97%,7.38%,1.14%,5.04%,10.50%,12.91%
20, I-SLICE,20,26.19,493880,0,25.087,42.016,44.504,44.674,42.659,0.970335,15.278,9,  -, -,0.00%,0.00%,0.00%,5.43%,2.46%,11.40%,7.27%,2.84%,24.27%,5.73%,1.75%,26.19%,12.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21, P-SLICE,21,26.41,63792,0,28,41.456,44.474,44.567,42.222,0.967461,14.876,8,20, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.20%,0.00%,3.01%,14.28%,13.56%,10.98%,0.00%,1.74%,4.10%,6.48%,0.79%,8.30%,15.87%,20.67%
22, P-SLICE,22,26.37,87008,0,28,41.336,44.472,44.564,42.132,0.966686,14.774,7, 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.08%,0.05%,0.00%,0.43%,0.00%,3.66%,19.35%,17.70%,13.47%,0.00%,1.49%,3.88%,4.91%,0.87%,5.31%,11.76%,17.02%
23, P-SLICE,23,26.59,90152,0,28,41.307,44.467,44.549,42.107,0.9664,14.737,6, 22 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.03%,0.00%,0.52%,0.00%,3.88%,17.87%,16.92%,16.60%,0.00%,1.44%,4.10%,7.35%,1.22%,4.77%,11.01%,14.24%
24, P-SLICE,24,26.35,90736,0,28,41.262,44.437,44.508,42.064,0.966042,14.691,5, 23 22 21 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%,0.03%,0.40%,0.00%,4.41%,19.06%,16.17%,15.10%,0.00%,1.19%,3.99%,6.30%,0.93%,5.40%,11.37%,15.55%
25, I-SLICE,25,26.15,490416,0,25.087,42.097,44.537,44.686,42.726,0.970527,15.306,4,  -, -,0.00%,0.00%,0.00%,4.45%,2.28%,10.74%,7.50%,2.99%,26.44%,6.32%,1.24%,26.23%,11.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26, P-SLICE,26,26.56,63320,0,28,41.453,44.509,44.586,42.227,0.967154,14.835,3,25, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.02%,0.51%,0.00%,2.78%,14.24%,13.77%,9.08%,0.00%,2.30%,4.96%,5.96%,0.73%,7.74%,16.43%,21.44%
27, P-SLICE,27,26.3,88144,0,28,41.335,44.51,44.6,42.14,0.966594,14.762,2, 26 25 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.29%,0.00%,4.27%,19.99%,17.82%,13.29%,0.00%,1.39%,5.05%,5.98%,0.87%,5.98%,11.01%,14.01%
28, P-SLICE,28,26.23,89712,0,28,41.287,44.488,44.555,42.096,0.966308,14.725,1, 27 26 25 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%,0.00%,0.32%,0.00%,4.83%,17.98%,17.36%,14.08%,0.00%,1.05%,4.54%,7.56%,1.05%,5.76%,11.55%,13.82%
29, P-SLICE,29,26.25,91040,0,28,41.294,44.472,44.573,42.101,0.966348,14.73,0, 28 27 26 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.12%,0.00%,0.39%,0.00%,5.48%,19.68%,16.62%,15.17%,0.00%,1.76%,3.54%,5.51%,0.94%,4.00%,11.50%,15.26%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 30 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorusIPPPP.csv --csv-log-level 1 --qpfile qp.txt --ssim --psnr -o Bosphorus.mp4, Tue May  5 08:28:41 2020,20.56,1.46,19907.74,41.409,44.426,44.562,42.18,0.966957,14.809,6,26.21,59713.44,41.997,44.473,44.653,15.251,24,26.44,9956.32,41.262,44.415,44.539,14.705, -, -, -, -, -, -, -,241,155,2.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP=32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0, I-SLICE,0,30.31,306536,0,25.087,39.688,43.016,43.241,40.549,0.953298,13.307,29,  -, -,0.00%,0.00%,0.00%,5.73%,1.99%,13.84%,8.71%,2.71%,28.36%,5.49%,1.26%,23.77%,8.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, P-SLICE,1,30.6,25168,0,28,39.274,43.017,43.219,40.235,0.95047,13.051,28,0, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,3.02%,10.22%,6.10%,4.97%,0.00%,2.77%,4.12%,4.87%,3.05%,16.57%,20.82%,23.27%
2, P-SLICE,2,30.86,40128,0,28,39.133,43.016,43.224,40.13,0.949228,12.944,27, 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.00%,0.51%,0.00%,5.01%,16.96%,10.06%,9.69%,0.00%,2.80%,3.96%,5.08%,2.65%,14.60%,12.13%,16.49%
3, P-SLICE,3,30.81,40752,0,28,39.048,43.002,43.224,40.064,0.948366,12.871,26, 2 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.52%,0.00%,6.55%,19.10%,11.31%,8.79%,0.00%,3.08%,5.00%,6.75%,2.60%,13.75%,9.99%,12.39%
4, P-SLICE,4,30.92,41816,0,28,39,42.996,43.215,40.027,0.948174,12.855,25, 3 2 1 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.34%,0.00%,7.59%,16.48%,11.00%,9.69%,0.00%,3.24%,2.49%,2.02%,3.54%,12.56%,13.27%,17.70%
5, I-SLICE,5,30.29,305968,0,25.087,39.684,43.116,43.258,40.56,0.953284,13.305,24,  -, -,0.00%,0.00%,0.00%,5.37%,2.69%,12.70%,8.76%,2.76%,26.52%,6.33%,1.04%,26.80%,7.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6, P-SLICE,6,31.21,24464,0,28,39.311,43.101,43.221,40.274,0.950444,13.049,23,5, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,3.03%,9.29%,5.69%,5.47%,0.00%,2.31%,3.44%,5.88%,3.13%,18.07%,21.04%,22.43%
7, P-SLICE,7,31.11,37080,0,28,39.141,43.11,43.229,40.148,0.949295,12.95,22, 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,5.51%,15.54%,11.63%,7.81%,0.00%,2.83%,3.18%,5.63%,2.87%,16.80%,13.32%,14.58%
8, P-SLICE,8,31.06,41120,0,28,39.056,43.114,43.215,40.083,0.948562,12.887,21, 7 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.36%,0.00%,6.40%,17.01%,10.33%,7.25%,0.00%,3.12%,4.21%,3.73%,2.96%,15.59%,14.38%,14.58%
9, P-SLICE,9,30.8,41768,0,28,39.02,43.111,43.202,40.054,0.948145,12.852,20, 8 7 6 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.04%,0.24%,0.00%,6.51%,16.65%,12.08%,8.00%,0.00%,3.60%,4.48%,5.54%,2.91%,15.15%,11.76%,12.97%
10, I-SLICE,10,30.25,301704,0,25.087,39.705,43.07,43.256,40.569,0.95319,13.297,19,  -, -,0.00%,0.00%,0.00%,6.26%,2.62%,13.83%,10.03%,2.39%,28.08%,5.95%,1.02%,23.46%,6.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
11, P-SLICE,11,30.57,24952,0,28,39.312,43.092,43.24,40.275,0.950512,13.055,18,10, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.00%,3.32%,8.09%,7.16%,5.07%,0.00%,3.38%,4.61%,5.87%,2.92%,15.22%,22.45%,21.83%
12, P-SLICE,12,30.66,38704,0,28,39.161,43.095,43.239,40.162,0.949351,12.954,17, 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.08%,0.00%,0.40%,0.00%,6.90%,16.43%,10.09%,8.69%,0.00%,3.47%,4.63%,8.13%,2.79%,14.04%,9.37%,14.91%
13, P-SLICE,13,30.87,43416,0,28,39.106,43.078,43.229,40.118,0.948818,12.909,16, 12 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.04%,0.38%,0.00%,7.62%,17.42%,11.41%,9.43%,0.00%,2.74%,3.16%,4.92%,3.07%,14.02%,11.24%,14.48%
14, P-SLICE,14,30.66,42368,0,28,39.064,43.034,43.205,40.078,0.948519,12.883,15, 13 12 11 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,7.55%,18.66%,12.64%,7.55%,0.00%,2.42%,2.67%,3.82%,3.44%,12.04%,13.10%,15.86%
15, I-SLICE,15,30.28,303280,0,25.087,39.718,43.013,43.216,40.567,0.953367,13.313,14,  -, -,0.00%,0.00%,0.00%,5.42%,2.00%,12.81%,10.55%,2.65%,29.06%,6.81%,1.29%,22.48%,6.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16, P-SLICE,16,30.56,25232,0,28,39.298,43.008,43.168,40.246,0.950458,13.05,13,15, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.12%,0.00%,3.05%,8.10%,5.80%,4.29%,0.00%,1.96%,2.99%,4.59%,2.57%,18.19%,24.93%,23.36%
17, P-SLICE,17,30.42,39232,0,28,39.114,43.027,43.146,40.107,0.94918,12.94,12, 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.04%,0.26%,0.00%,6.04%,15.18%,9.51%,8.87%,0.00%,2.50%,4.29%,5.44%,2.54%,14.69%,13.61%,16.96%
18, P-SLICE,18,30.44,43048,0,28,39.08,43.027,43.152,40.083,0.948896,12.915,11, 17 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.48%,0.00%,6.75%,16.51%,12.09%,7.55%,0.00%,2.33%,2.53%,3.78%,3.09%,14.10%,14.46%,16.31%
19, P-SLICE,19,30.87,42792,0,28,39.083,43.018,43.125,40.08,0.949082,12.931,10, 18 17 16 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.45%,0.00%,7.28%,16.54%,10.86%,7.49%,0.00%,2.26%,3.87%,7.04%,3.05%,14.32%,13.66%,13.00%
20, I-SLICE,20,30.26,300456,0,25.087,39.734,43.08,43.227,40.589,0.953868,13.36,9,  -, -,0.00%,0.00%,0.00%,6.14%,2.62%,13.16%,9.30%,2.26%,27.76%,5.76%,1.15%,25.05%,6.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21, P-SLICE,21,30.99,25208,0,28,39.373,43.072,43.176,40.311,0.951556,13.148,8,20, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,3.20%,8.85%,6.40%,3.73%,0.00%,2.17%,4.35%,4.54%,2.39%,19.57%,21.00%,23.73%
22, P-SLICE,22,30.91,39984,0,28,39.255,43.105,43.212,40.231,0.95053,13.057,7, 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%,0.00%,5.70%,15.67%,10.11%,6.74%,0.00%,2.44%,2.93%,3.74%,2.07%,16.85%,15.48%,17.93%
23, P-SLICE,23,30.96,41976,0,28,39.187,43.093,43.197,40.176,0.950068,13.016,6, 22 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.00%,0.28%,0.00%,6.91%,16.95%,11.35%,7.19%,0.00%,3.40%,3.80%,5.84%,2.40%,14.59%,12.91%,14.31%
24, P-SLICE,24,30.8,43176,0,28,39.155,43.072,43.197,40.149,0.949605,12.976,5, 23 22 21 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.08%,0.00%,0.28%,0.00%,6.69%,16.77%,11.45%,7.44%,0.00%,2.95%,4.41%,4.88%,2.52%,14.29%,12.40%,15.82%
25, I-SLICE,25,30.21,298072,0,25.087,39.81,43.122,43.293,40.659,0.954098,13.382,4,  -, -,0.00%,0.00%,0.00%,5.27%,2.34%,13.78%,10.99%,2.54%,29.26%,6.17%,1.41%,21.36%,6.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26, P-SLICE,26,30.82,25048,0,28,39.392,43.103,43.251,40.338,0.951238,13.119,3,25, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.21%,0.00%,3.06%,9.88%,5.75%,4.01%,0.00%,2.20%,2.60%,3.00%,2.32%,18.47%,22.81%,25.66%
27, P-SLICE,27,30.89,38920,0,28,39.256,43.116,43.25,40.238,0.950378,13.043,2, 26 25 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.11%,0.00%,6.19%,16.19%,9.70%,7.25%,0.00%,3.13%,4.27%,6.04%,1.96%,15.74%,13.82%,15.55%
28, P-SLICE,28,30.72,41832,0,28,39.19,43.143,43.218,40.188,0.949915,13.003,1, 27 26 25 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.00%,0.48%,0.00%,7.72%,15.43%,11.27%,7.35%,0.00%,2.26%,4.40%,5.29%,2.18%,15.56%,13.17%,14.79%
29, P-SLICE,29,30.6,41352,0,28,39.162,43.133,43.201,40.164,0.949569,12.973,0, 28 27 26 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.04%,0.58%,0.00%,7.40%,15.70%,9.08%,8.26%,0.00%,2.34%,4.44%,4.77%,2.84%,15.62%,13.77%,15.08%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 30 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorusIPPPP.csv --csv-log-level 1 --qpfile qp.txt --ssim --psnr -o Bosphorus.mp4, Tue May  5 08:33:43 2020,20.64,1.45,10822.21,39.284,43.07,43.215,40.248,0.950382,13.044,6,30.27,36320.32,39.723,43.069,43.249,13.327,24,30.8,4447.68,39.174,43.07,43.206,12.976, -, -, -, -, -, -, -,241,155,2.6,,,,,,
